"x"
"P41159ups"
"P02788ups"
"P62937ups"
"P02042; P68871ups"
"P62988ups"
"P68871ups"
"Q06830ups"
"P08758ups"
"P02741ups"
"P01008ups"
"P10636-8ups"
"P12081ups"
"P12081ups; P49590"
"P04040ups"
"P02787ups"
"P02753ups"
"P99999ups"
"P00915ups"
"P15559ups"
"Q06830ups; P32119"
"O76070ups"
"P06396ups"
"P01127ups"
"P05413ups"
"O00762ups"
"P09211ups"
"P01344ups"
"P00918ups"
"P01579ups"
"P01133ups"
"P10599ups"
"P02768ups"
"P61626ups"
"A0A0B4J2A2; F5H284; P62937ups; Q9Y536; A0A075B759"
"P69905ups"
"P01031ups"
"P00441ups"
"P09210; Q16772; P08263ups"
"P01375ups"
"P16083ups"
"P63165ups"
"P09210; Q7RTV2; Q16772; P08263ups"
"P02144ups"
"Q06830ups; Q13162"
"P51965ups; Q96LR5; Q969T4"
"P10145ups"
"P00709ups"
"P02100; P02042; P69891; P69892; P68871ups"
"P00167ups"
